rosbagTimestamp,data
1556703677620438316,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703677720770319,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703677821041685,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703677920591809,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678020958879,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678121549727,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678221021993,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678320890572,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678421093158,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678522636001,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678620715730,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678720785014,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678820330570,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703678920603872,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679021404070,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679120783794,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679220574608,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679320672576,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679420703076,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679520835435,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679622295287,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679720640786,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679820151820,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703679920804707,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680020577561,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680120660060,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680220919664,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680320771310,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680420809276,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680520679916,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680622129045,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680720760070,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680820722464,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703680920349219,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681021120895,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681120828265,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681220939541,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681320837059,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681422437091,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681520953377,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681620923871,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681720823032,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681820422947,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703681920771763,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682022058370,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682120720436,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682221908020,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682321722431,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682421885684,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682520922683,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682621932601,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682721672116,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682820781075,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703682920764975,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683020835158,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683120833263,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683220538287,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683321094833,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683420842681,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683521721872,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683619877543,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683720871767,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683820855951,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703683920845642,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684021063903,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684120987256,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684221006921,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684320062359,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684420532919,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684521008669,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684621204507,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684720889637,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684820904743,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703684921106040,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703685020523245,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703685121140994,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703685220991580,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703685320675083,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703685421261089,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703685520659940,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
