rosbagTimestamp,data
1556703795220835379,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703795320837098,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703795421086774,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703795520793269,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703795620797496,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703795720925836,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703795821058794,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703795921034507,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796021011006,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796121232881,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796220736148,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796320706580,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796420792438,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796520944439,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796620764103,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796720312824,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796820791754,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703796920896339,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797021557435,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797121679926,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797220675387,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797320935222,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797420932734,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797520924557,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797620867087,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797720697251,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797820674902,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703797920739279,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798020962065,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798120760390,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798220900172,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798320961764,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798420887818,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798520952182,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798620835549,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798720850703,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798820774933,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703798921069369,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799020950347,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799120997061,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799220844047,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799320892037,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799421222217,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799521100727,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799621246327,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799720861105,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799820948414,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703799921337112,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800021037346,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800120758944,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800220751436,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800320345804,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800420688728,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800521563450,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800620875627,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800721088165,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800820882195,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703800921351539,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703801020867874,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556703801121593428,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
