rosbagTimestamp,data
1556709914121500044,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709914220936942,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709914320822554,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709914420939526,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709914520685110,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709914620717688,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709914720932613,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709914821076394,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709914920778474,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915020950196,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915120758922,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915221032517,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915320910714,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915420861440,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915520926531,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915620808880,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915720702761,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915820846804,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709915921332257,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916020966730,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916121006781,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916220950824,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916321016305,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916420812409,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916520792976,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916620990170,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916723673481,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916821245934,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709916920950389,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709917020956924,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709917120367715,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709917221044781,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709917320944427,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709917420825864,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709917520577600,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
1556709917621124366,"""[-84.4900175836646, -2.8224248115195337e-11, -90.87001890367033]"""
