rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1556709915593981150,,245983,,1556709130,793017941,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709915645204099,,245984,,1556709130,844228041,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709915695969407,,245985,,1556709130,894960266,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709915743881036,,245986,,1556709130,942370532,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709915794291161,,245987,,1556709130,992370981,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709915844107298,,245988,,1556709131,42280410,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709915893493701,,245989,,1556709131,92192127,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709915943509781,,245990,,1556709131,142148963,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709915997492542,,245991,,1556709131,196065084,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916049959793,,245992,,1556709131,248628625,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916094565125,,245993,,1556709131,293876723,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916143787569,,245994,,1556709131,342900400,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916197677494,,245995,,1556709131,395876309,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916246828434,,245996,,1556709131,445674845,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916294553239,,245997,,1556709131,492965720,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916346246400,,245998,,1556709131,545325555,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916395031908,,245999,,1556709131,593978385,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556709916445442564,,246000,,1556709131,643747370,'',"[head_1_joint, head_2_joint]","[-0.015184364474999996, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
