rosbagTimestamp,data
1556710302120584449,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710302222410991,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710302320992114,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710302421249938,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710302520286710,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710302621395172,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710302720780494,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710302820479296,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710302920440201,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303020785682,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303121641860,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303222947117,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303319962195,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303420653791,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303522265919,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303620152362,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303721311746,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303820287919,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710303920639212,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304021151167,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304121102069,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304219862741,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304320095525,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304421146901,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304520748271,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304621228987,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304720255206,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304824115133,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710304920963788,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305021103807,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305120645262,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305221022603,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305320463812,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305420730888,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305520262492,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305620864857,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305720920250,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305821000978,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710305920137698,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306020977361,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306121095730,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306220014233,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306321027904,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306420781021,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306524293971,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306620614786,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306720277947,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306820551781,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710306922185785,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710307020924066,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710307121636781,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710307220455765,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
1556710307321793723,"""[-84.4900175836646, -2.820834533847954e-11, -90.58001884366887]"""
