rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1556703228424707594,,112236,,1556702443,443537538,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228473338876,,112237,,1556702443,494321081,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228523380769,,112238,,1556702443,543179637,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228573231124,,112239,,1556702443,593434546,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228625425435,,112240,,1556702443,644034668,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228672801264,,112241,,1556702443,692972380,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228720996468,,112242,,1556702443,742902728,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228777950530,,112243,,1556702443,797544847,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228823739725,,112244,,1556702443,842848884,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228871987095,,112245,,1556702443,892911672,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228923645508,,112246,,1556702443,945153668,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703228974025153,,112247,,1556702443,993896983,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703229024203378,,112248,,1556702444,46563020,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703229071793718,,112249,,1556702444,92498652,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703229120433644,,112250,,1556702444,142441281,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703229177916233,,112251,,1556702444,197369402,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703229224170335,,112252,,1556702444,242384676,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
1556703229273484475,,112253,,1556702444,293608786,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, -0.015184364474999996]","[0.0, 0.0]","[0.0, 0.0]"
