rosbagTimestamp,data
1556703227120760983,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703227221049457,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703227321231024,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703227421176874,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703227520621483,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703227621122326,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703227720811101,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703227820737947,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703227920742289,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228020714980,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228120909009,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228220884330,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228320905322,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228421028431,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228520763256,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228620882989,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228720495651,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228820746536,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703228920436317,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229021547992,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229120822306,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229222590397,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229320810964,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229422599173,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229520761149,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229621704555,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229720790092,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229820737299,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703229921720845,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230021723915,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230120768924,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230220939096,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230320975969,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230421279127,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230520811455,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230621911776,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230722199293,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230821780848,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703230921653683,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231020796339,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231120970595,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231221243969,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231320931614,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231421906124,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231520879362,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231622210203,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231720904039,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703231820910071,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
