rosbagTimestamp,data
1556703427220081920,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703427320576372,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703427421306233,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703427520989894,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703427621711912,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703427720834547,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703427821279234,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703427921276433,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428021043463,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428124840574,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428220008855,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428320710926,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428420816234,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428522755474,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428621233936,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428722509445,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428820795787,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703428920843157,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429020804413,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429121388396,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429220797697,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429321650049,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429421629461,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429520520968,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429620839109,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429721808018,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429821022436,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703429921183269,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430021292966,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430120944449,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430221009543,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430320941790,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430421004459,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430520888871,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430621788926,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430720896224,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430820595694,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703430920894682,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431020764466,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431120895479,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431220894053,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431320751605,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431421169610,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431520492489,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431621018350,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431720010462,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431820854018,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703431921555542,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432021831173,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432120579922,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432221563208,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432320172330,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432420449677,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432521764312,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432621490515,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432721299824,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432821468466,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703432919910736,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703433021459242,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703433120348831,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
1556703433220436474,"""[-90.87001890369599, 4.2428608277744615e-12, -90.58001884369884]"""
