rosbagTimestamp,data,"\ -2.2079415192211627e-11, -90.58001884367407]"""
1556702330578960239,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702330678495355,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702330778526889,"""[0.22338875121297525, 0.021005112793570837, 1.1935507466245079, -85.65001782367031,\"
1556702330878452055,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702330978455319,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702331078506487,"""[0.22338875121297525, 0.021005112793570833, 1.1936471879399675, -85.65001782367031,\"
1556702331178519615,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702331278410607,"""[0.22338875121297525, 0.021005112793570833, 1.1934410061138112, -85.65001782367031,\"
1556702331378456594,"""[0.22338875121297525, 0.021005112793570833, 1.193743629255427, -85.65001782367031,\"
1556702331478676539,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702331578555834,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702331678459554,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702331778409088,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702331878420095,"""[0.22338875121297525, 0.021005112793570837, 1.1934543053090483, -85.65001782367031,\"
1556702331977692257,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702332078393160,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702332178462432,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702332278460758,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702332378511486,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702332478375493,"""[0.22338875121297525, 0.021005112793570833, 1.193743629255427, -85.65001782367031,\"
1556702332578482040,"""[0.22338875121297525, 0.021005112793570833, 1.193743629255427, -85.65001782367031,\"
1556702332679019635,"""[0.22338875121297525, 0.021005112793570833, 1.193743629255427, -85.65001782367031,\"
1556702332778685186,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702332879838082,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702332978455108,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702333078357790,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702333177918778,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702333278320857,"""[0.22338875121297525, 0.021005112793570837, 1.1935507466245079, -85.65001782367031,\"
1556702333378460921,"""[0.22338875121297525, 0.021005112793570833, 1.193743629255427, -85.65001782367031,\"
1556702333478458608,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702333578502861,"""[0.22338875121297525, 0.021005112793570833, 1.1936471879399675, -85.65001782367031,\"
1556702333678345069,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702333777678476,"""[0.22338875121297525, 0.021005112793570833, 1.193743629255427, -85.65001782367031,\"
1556702333878521294,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702333978546795,"""[0.22338875121297525, 0.021005112793570833, 1.193743629255427, -85.65001782367031,\"
1556702334080250610,"""[0.22338875121297525, 0.021005112793570833, 1.1936471879399675, -85.65001782367031,\"
1556702334178451970,"""[0.22338875121297525, 0.021005112793570837, 1.1935507466245079, -85.65001782367031,\"
1556702334277918450,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702334378654736,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702334478508794,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702334578489413,"""[0.22338875121297525, 0.021005112793570837, 1.1935507466245079, -85.65001782367031,\"
1556702334677958915,"""[0.22338875121297525, 0.021005112793570833, 1.1936331654837995, -85.65001782367031,\"
1556702334778029902,"""[0.22338875121297525, 0.021005112793570833, 1.1935507466245079, -85.65001782367031,\"
1556702334878280890,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702334978341375,"""[0.22338875121297525, 0.021005112793570833, 1.193357863993589, -85.65001782367031,\"
1556702335078472335,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702335178577796,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
1556702335278527630,"""[0.22338875121297525, 0.021005112793570833, 1.1934629966159487, -85.65001782367031,\"
1556702335377845500,"""[0.22338875121297525, 0.021005112793570833, 1.1934543053090483, -85.65001782367031,\"
